1blankname,1namedata,academic_advisors,agent,alias,allegiance,alma mater,alma_mater,alongside,alongside1,alt,appointer1,appointer2,associated_acts,attributes,author_abbrev_bot,author_abbrev_zoo,awards,background,baptised,beatified_by,beatified_date,beatified_place,birth_date,birth_name,birth_place,birthname,branch,burial,burial_date,burial_place,canonized_by,canonized_date,canonized_place,caption,child,children,church,citizenship,consort,constituency12,constituency13,constituency14,constituency15,cor-type,cor-type1,coregency,coronation,coronation1,current_member_of,death_cause,death_date,death_place,denomination,deputy,disappeared_date,disappeared_place,disappeared_status,discipline,discography,doctoral_advisor,doctoral_students,dynasty,education,embed,embed_title,employer,era,family,father,feast_day,field,fields,flourished,footnotes,full name,genre,genres,governor4,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,honours,horus,house,image,image_alt,image_size,image_upright,imagesize,influenced,influences,institute,instrument,issue,issue-link,issue-pipe,issues,known_for,label,landscape,language,last,list_of_works,main_interests,major_shrine,mi,module,module2,monarch,monarch1,monuments,moretext,mother,movement,name,nationality,native_name,native_name_lang,nickname,nocat_wdimage,nomen,notable_family,notable_ideas,notable_students,notable_works,notableworks,occupation,occupations,office,office1,office10,office11,office12,office15,office2,office3,office4,office5,office6,office7,office8,ordained,order,order1,order2,order3,order4,order8,organisation,organizations,origin,other_names,p,parents,partner,party,past_member_of,patronage,patrons,period,posthumous_name,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,president,president1,president3,primeminister1,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,prizes,pseudonym,rank,region,regnal name,reign,reign-type1,reign1,relations,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,role,s,school_tradition,serviceyears,signature,signature_alt,signature_size,significant_advance,significant_design,significant_projects,spouse,spouses,style,subject,subjects,suboffice3,subterm3,succession,succession1,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,t,term10,term11,term12,term13,term14,term15,term_end,term_end1,term_end11,term_end12,term_end2,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label3,term_label4,term_start,term_start1,term_start11,term_start12,term_start2,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,thesis_title,thesis_url,thesis_year,title,titles,training,venerated_in,vicepresident,vicepresident1,w,website,work_institutions,workplaces,works,years_active,yearsactive
,,,,,,,,,,Portrait photo of Harriet Tubman,,,,,,,,,,,,,{{circa|March 1822}}{{sfn|Larson|2004|p=16}},Araminta Ross,"[[Dorchester County, Maryland]], U.S.<!-- As per WP:LINKDIRECT and Template:infobox person, birth/death place indicates city, state, then country. No need to spell out ""United States; 'U.S.' is fine. -->",,,,,,,,,"Tubman, {{circa|1871–1876}}",,,,,,,,,,,,,,,,,{{BirthDeathAge| |1822|3| |1913|3|10}},"[[Auburn, New York]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Portrait of Harriet Tubman) (LOC) (38899564300) (cropped 3x4).jpg,,,,,,,,,,,,,Guiding enslaved people to freedom,,,,,,,,,,,,,,,,,Harriet Tubman,,,,,,,,,,,,{{hlist|Civil War [[Reconnaissance|scout]]|[[American Civil War spies#Union Spying|spy]]|nurse|suffragist|civil rights activist}},,,,,,,,,,,,,,,,,,,,,,,,,{{hlist|Minty|Moses}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Fort Hill Cemetery]], <br />Auburn, New York, U.S.",{{coord|42.9246|-76.5750|type:landmark|display=inline}},,,,,,,,,,,,{{plainlist|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{Circa|1797}},Isabella Bomefree,"[[Swartekill, New York]], U.S.",,,,,,,,,"Truth, {{circa|1870}}",,,,,,,,,,,,,,,,,{{Death date and given age|1883|11|26|86|mf=y}},"[[Battle Creek, Michigan]], U.S.",,,,,,,,,,,,,,,,,James Bomefree,,,,,,,,,,,,,,,,,"Sojourner Truth, 1870 (cropped, restored).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,Elizabeth Bomefree,,Sojourner Truth,,,,,,,,,,,,"[[Abolitionism in the United States|Abolitionist]], [[human rights activists|human rights activist]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Malala Yousafzai,,,,,,,,,,,,,{{birth date and age|df=yes|1997|7|12}},,"[[Mingora]], Swat, Pakistan<ref name=whoswho>{{Who's Who | author=Anon| title=Yousafzai, Malala | id=U282567 | year=2019 | doi=10.1093/ww/9780199540884.013.U282567| edition=online [[Oxford University Press]]|location=Oxford}}</ref>",,,,,,,,,"Yousafzai in December 2023, [[Johannesburg]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Lady Margaret Hall, Oxford]] ([[Bachelor of Arts|BA]])",,,,,,"[[Ziauddin Yousafzai]]<ref name=""Tighe 2017"">{{cite web | last=Tighe | first=Siobhann | title=Malala Yousafzai's mother: Out of the shadows | publisher=BBC News | date=18 April 2017 | url=https://www.bbc.com/news/world-39550681 | access-date=13 January 2021 | archive-date=19 April 2021 | archive-url=https://web.archive.org/web/20210419010726/https://www.bbc.com/news/world-39550681 | url-status=live }}</ref>",,,,,,,,,,,,,,[[2014 Nobel Peace Prize|Nobel Peace Prize]] (2014),,,Malala Yousafzai 2023 portrait 2x3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malala Yousafzai,,{{nobold|ملاله یوسفزۍ}},ps,,,,,,,,,Activist for [[female education]]<!-- no longer a student-->,,,,,,,,,,,,,,,,,,,,,,[[Malala Fund]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{marriage|Asser Malik|2021}}<ref>{{cite web |title=Malala Yousafzai announces her marriage on Twitter |url=https://www.cbc.ca/news/world/malala-yousafzai-marriage-announcement-twitter-human-rights-campaigner-1.6243231 |website=CBC News |publisher=Associated Press |access-date=9 November 2021 |date=9 November 2021 |archive-date=9 November 2021 |archive-url=https://web.archive.org/web/20211109224521/https://www.cbc.ca/news/world/malala-yousafzai-marriage-announcement-twitter-human-rights-campaigner-1.6243231 |url-status=live }}</ref>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{URL|https://malala.org/}},,,,,
,,,,,,,,,,,,,,Religious habit<br>Rosary,,,,#6C91FF,,[[Pope John Paul II]],19 October 2003,"[[Saint Peter's Square]], Vatican City",{{birth date|df=yes|1910|8|26}},Anjezë Gonxhe Bojaxhiu,"[[Üsküp]], [[Kosovo vilayet]], [[Ottoman Empire]]",,,,,,[[Pope Francis]],4 September 2016,"Saint Peter's Square, Vatican City",Mother Teresa in 1995,,,,,,,,,,,,,,,,,{{death date and age|df=yes|1997|9|5|1910|8|26}},"[[Calcutta]], [[West Bengal]], India",[[Catholic Church]],,,,,,,,,,,yes,,,,,,5 September<ref>{{cite web |url=https://www.catholicnewsagency.com/saint/st-teresa-of-kolkata-585 |title=St. Teresa of Kolkata |website=Catholic News Agency |access-date=6 September 2023 |archive-url=https://web.archive.org/web/20181008171333/https://www.catholicnewsagency.com/saint/st-teresa-of-kolkata-585 |archive-date=2018-10-08 |url-status=}}</ref>,,,,,,,,,,[[Missionaries of Charity|MC]],,,,,,Mother Teresa 1.jpg,,,,,,,{{unbulleted list|[[Sisters of Loreto]] (1928–1948)|[[Missionaries of Charity]] (1950–1997)}},,,,,,,,,,,,,"Mother House of the Missionaries of Charity, Calcutta, West Bengal, India",,{{Infobox religious biography,,,,,,,,Mother Teresa,{{plainlist|,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{unbulleted list|[[World Youth Day]]|[[Missionaries of Charity]]|[[Archdiocese of Calcutta]] (co-patron)<ref>{{cite news|url=https://abcnews.go.com/International/wireStory/vatican-declares-mother-teresa-patron-saint-calcutta-49651357|title=Vatican declares Mother Teresa a patron saint of Calcutta|first=Manik |last=Banerjee|date=6 September 2017|publisher=Associated Press |access-date=6 September 2017|url-status=dead|archive-url=https://web.archive.org/web/20170906160015/http://abcnews.go.com/International/wireStory/vatican-declares-mother-teresa-patron-saint-calcutta-49651357|archive-date=6 September 2017}}</ref><ref>{{cite magazine |url=http://www.firstpost.com/india/mother-teresa-to-be-named-co-patron-of-calcutta-archdiocese-on-first-canonization-anniversary-4007169.html |title=Mother Teresa to be named co-patron of Calcutta Archdiocese on first canonization anniversary |publisher=Indo-Asian News Service |date=4 September 2017 |magazine=First Post |access-date=5 September 2017 |archive-date=26 April 2020 |archive-url=https://web.archive.org/web/20200426020241/https://www.firstpost.com/india/mother-teresa-to-be-named-co-patron-of-calcutta-archdiocese-on-first-canonisation-anniversary-4007169.html |url-status=live}}</ref>}},,1950–1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Superior general]],[[Virgin (title)|Virgin]],,[[Catholic Church]],,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1884|10|11}},Anna Eleanor Roosevelt,"[[New York City]], U.S.",,,,,,,,,"Roosevelt, {{circa|1946–1947}}",,"6, including [[Anna Roosevelt Halsted|Anna]], [[James Roosevelt|James]], [[Elliott Roosevelt (general)|Elliott]], [[Franklin D. Roosevelt Jr.|Franklin Jr.]], and [[John Aspinwall Roosevelt|John]]",,,,,,,,,,,,,,,{{death date and age|1962|11|7|1884|10|11}},"New York City, U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,Franklin D. Roosevelt,,,,,,,,CT 74-53 (3x4 cropped).jpg<!--do not change without discussion at Talk page-->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eleanor Roosevelt,,,,,,,,,,,,,,1st Chair of the [[Presidential Commission on the Status of Women]],1st United States Representative to the [[United Nations Commission on Human Rights]],,,,,1st Chair of the [[United Nations Commission on Human Rights]],[[First Lady of the United States]],[[First Ladies and Gentlemen of New York|First Lady of New York]],,,,,,,,,,,,,,,,,{{plainlist|,,[[Democratic Party (United States)|Democratic]],,,,,,Office established,Office established,,,,,,Office established,[[Lou Henry Hoover]],Catherine Smith,,,,,,[[John F. Kennedy]],[[Harry S. Truman]],[[Franklin D. Roosevelt]],,,,,,,,,,,,,,,,,,,,,,,,,"[[Home of Franklin D. Roosevelt National Historic Site|Springwood Estate, Hyde Park, New York]], U.S.",,,,,,,,,,,{{marriage|[[Franklin D. Roosevelt]]|1905|1945|end=died}},,,,,,,,,[[Esther Peterson]],[[Mary Pillsbury Lord]],,,,,,[[Charles Malik]],[[Bess Truman]],Edith Lehman,,,,,,,,,,,,,"November 7, 1962","January 20, 1953<ref>{{cite web | title=Eleanor Roosevelt and Harry Truman Correspondence: 1953–60| publisher=Harry S. Truman Presidential Library and Museum | date=September 24, 2015 | url=http://www.trumanlibrary.org/eleanor/1953.html | archive-url=https://web.archive.org/web/20150924000902/http://www.trumanlibrary.org/eleanor/1953.html | archive-date=September 24, 2015 | url-status=dead | access-date=August 23, 2019}}</ref>",,,"December 30, 1952<ref>{{cite book|last=Fazzi|first=Dario|title=Eleanor Roosevelt and the Anti-Nuclear Movement: The Voice of Conscience|url=https://books.google.com/books?id=w87BDQAAQBAJ&pg=PA109|date=December 19, 2016|publisher=Springer|isbn=978-3-319-32182-0|at=p. 109, Note 61}}</ref>","April 12, 1945","December 31, 1932",,,,,,In role,In role,"January 20, 1961","January 27, 1947<ref>{{cite web | title=Eleanor Roosevelt and Harry Truman Correspondence: 1947 | publisher=[[Harry S. Truman Presidential Library and Museum]] | date=November 14, 2015 | url=https://www.trumanlibrary.org/eleanor/1947.html | archive-url=https://web.archive.org/web/20151114005433/https://www.trumanlibrary.org/eleanor/1947.html | archive-date=November 14, 2015 | url-status=dead | access-date=August 23, 2019}}</ref>",,,"April 29, 1946<ref>{{Cite web|url=https://www.fdrlibrary.org/documents/356632/390886/sears.pdf/c300e130-b6e6-4580-8bf1-07b72195b370|title=Eleanor Roosevelt and the Universal Declaration of Human Rights|last=Sears|first=John|date=2008|publisher=[[Franklin D. Roosevelt Presidential Library and Museum]]|format=PDF}}</ref>","March 4, 1933","January 1, 1929",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Half-length portrait of Thatcher. She is wearing a black suit and pearls, with a brooch on her left lapel. Her hands are clasped in front of her, adorned with rings. The background is pale and softly lit.",,,,,,,,,,,,,,,,,,,,,,,,"Studio portrait, {{circa|1995–96}}",,,,,,,,,,,,,,,,,,,,[[Geoffrey Howe]] {{nowrap|(1989–90)}},,,,,,,,,,,,,,,,,,,,,,,,,,,{{Pre-nominal styles|RHon|size=100%}},{{Post-nominals|country=GBR|size=100%|LG|OM|DStJ|PC|FRS|HonFRSC}},,,,Margaret Thatcher stock portrait (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,[[Elizabeth&nbsp;II]],Elizabeth&nbsp;II,,,,,The Baroness Thatcher,,,,,,,,,,,,,,[[Prime Minister of the United Kingdom]],[[Leader of the Opposition (United Kingdom)|Leader of the Opposition]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[James Callaghan]],,,,,,,,,,,,,,,,,,{{Plainlist|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[John Major]],,,,,,,,,,,,,,,,,,,,,,28 November 1990,4 May 1979,,,,,,,,,,,,,4 May 1979,11 February 1975,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,[[Indira Gandhi#Awards and honours|See below]],,,,,,{{birth date|1917|11|19|df=yes}},Indira Nehru,"[[Prayagraj|Allahabad]], [[United Provinces of Agra and Oudh|Agra and Oudh]], India",,,,,,,,,Gandhi in 1983,,{{ubl|[[Rajiv Gandhi]]|[[Sanjay Gandhi]]}},,,,"[[Medak Lok Sabha constituency|Medak]], [[Telangana|Andhra Pradesh]]","[[Chikmagalur Lok Sabha constituency|Chikmagalur]], [[Karnataka]]","[[Rae Bareli Lok Sabha constituency|Rae Bareli]], [[Uttar Pradesh]]",[[List of Rajya Sabha members from Uttar Pradesh|Uttar Pradesh]],,,,,,,[[Assassination of Indira Gandhi|Assassination]],{{death date and age|1984|10|31|1917|11|19|df=yes}},"New Delhi, India",,,,,,,,,,,"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",,,,,,[[Jawaharlal Nehru]],,,,,,,,,,,,,,,,,Indira Gandhi official portrait.png,,,,,,,,,,,,,,,,,,,,,,{{Listen|pos=center|embed=yes|filename=Indira Gandhi voice.ogg|title=Indira Gandhi's voice|type=speech|description=Gandhi on [[India–United States relations]]<br/>Recorded 29 July 1982}},,,,,,[[Kamala Nehru]],,Indira Gandhi,,,,,,,,,,,,[[Politician]],,"<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[Prime Minister of India]]",,"<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->President of the [[Indian National Congress (Indira)]]","<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[President of the Indian National Congress]]","<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[Member of Parliament, Lok Sabha|Member of Parliament]], [[Lok Sabha]]","<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->[[Member of Parliament (India)|Member of Parliament]], [[Rajya Sabha]]",,,,,,,,,"<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->","<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->","<!-- Do NOT add counts or ordinals, as per [[WP:CONSENSUS]] -->",,,,,,,,,,,{{unbulleted list|[[Indian National Congress]] (1938–1969)|[[Congress (R)]] (1969–1978)|[[Indian National Congress|Congress (I)]] (1978–1984)}},,,,,,[[Charan Singh]],[[Lal Bahadur Shastri]]{{efn|[[Gulzarilal Nanda]] as acting prime minister for 13 days.}},[[Devakanta Barua]] (''as INC (R)''),[[U. N. Dhebar]],Mallikarjun Mudiraj,[[D. B. Chandregowda]],Baijnath Kureel,[[P. V. Narasimha Rao]],[[M. C. Chagla]],[[Chidambaram Subramaniam]],[[Swaran Singh]],[[Yashwantrao Chavan]],[[Gulzarilal Nanda]],Morarji Desai,[[Satya Narayan Sinha]],[[Neelam Sanjiva Reddy]]<br />[[Zail Singh]],[[Sarvepalli Radhakrishnan]]<br />[[Zakir Husain]]<br />[[V. V. Giri]]<br />[[Fakhruddin Ali Ahmed]]{{#tag:ref|[[B. D. Jatti]] as acting president 6 months.|group=Note}},,,''Herself'',''Herself'',''Herself'',''Herself'',''Herself'',''Herself'',''Herself'',Lal Bahadur Shastri,,,,,,,,,,[[Nehru–Gandhi family]],,,,,,,,,,,,,,,,,{{marriage|[[Feroze Gandhi]]|26 March 1942|8 September 1960|reason=died}},,,,,,,,,[[Rajiv Gandhi]],[[Morarji Desai]],Rajiv Gandhi,Neelam Sanjiva Reddy,P. Manik Reddy,D. M. Puttegowda,[[Raj Narain]],Rajiv Gandhi,[[Dinesh Singh (Uttar Pradesh politician)|Dinesh Singh]],Ramaswamy Venkataraman,[[Bansi Lal]],[[Uma Shankar Dikshit]],Yashwantrao Chavan,Yashwantrao Chavan,[[Kodardas Kalidas Shah]],,1978–1984,1959,1980–1984,1978–1980,1967–1977,1964–1967,31 October 1984,24 March 1977,,,31 October 1984,13 February 1969,15 January 1982,20 December 1975,5 February 1973,13 November 1966,27 June 1970,24 January 1966,,,14 January 1980,24 January 1966,,,19 July 1984,,14 January 1980,,27 June 1970,9 November 1966,17 July 1969,9 June 1964,,,,,,,,[[Mohammad Hidayatullah]]<br />[[Ramaswamy Venkataraman]],{{Plainlist|,,,,,,,
{{nowrap|[[Vice-Chancellor of Germany#Federal Republic of Germany (1949–present)|Vice Chancellor]]}},{{#invoke:collapsible list|main|title={{nobold|''See list''}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merkel in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!-- Please do not add German-language titles here -->,,,,,,"Angela Merkel 2019 cropped.jpg <!-- Discussion in progress, please do not modify before consensus -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angela Merkel,,,,,,,,,,,,,,[[Chancellor of Germany]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{circa|8th century BC}},,"possibly [[Ionia]]<ref name=""Britannica"">{{Cite encyclopedia |last=Kirk |first=Geoffrey S. |author-link=Geoffrey Kirk |title=Homer |url=https://www.britannica.com/biography/Homer-Greek-poet |encyclopedia=[[Encyclopædia Britannica]] |year=2025 |orig-year=1998}}</ref>",,,,,,,,,Marble terminal bust of Homer. Roman copy of a lost 2nd-century BC Hellenistic original,,,,,,,,,,,,,,,,,,[[Ios]]<ref name= Lefkowitz2013 />,,,,,,,,,,,,,,,,,,,,,,,,[[Epic poetry|Epic]],,,,,,,,,,Homer British Museum.jpg,,,,,,,,,,,,,,,,{{Unbulleted list|[[Homeric Greek]] (literary)|[[Ionic Greek]]}},,,,,,,,,,,,,,Homer,,Ὅμηρος,grc,,,,,,,{{Unbulleted list|''[[Iliad]]''|''[[Odyssey]]''}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Epic Cycle]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,15 October 70 BC,Publius Vergilius Maro,"Andes, [[Cisalpine Gaul]], [[Roman Republic]]",,,,,,,,,"A 3rd-century Roman [[Virgil Mosaic|mosaic of Virgil]] seated between [[Clio]] and [[Melpomene]] (from [[Hadrumetum]] [Sousse], Tunisia)",,,,,,,,,,,,,,,,,21 September 19 BC (aged 50),"[[Brindisi|Brundisium]], [[Italy (Roman Empire)|Italy]], [[Roman Empire]]",,,,,,,,,,,,,,,,,,,,,,,,{{hlist|[[Epic poetry]]|[[didactic poetry]]|[[pastoral poetry]]}},,,,,,,,,,Virgil mosaic in the Bardo National Museum (Tunis) (12241228546).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Augustan poetry]],Virgil,,,,,,,,,,''[[Eclogues]]'' <br/> ''[[Georgics]]'' <br/> ''[[Aeneid]]'',,Poet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,head-and-chest side portrait of Dante in red and white coat and cowl,,,,,,,,,,,,,"{{circa|May 1265|}}<ref name=""auto"">His birth date is listed as ""probably in the end of May"" by [[Robert Hollander]] in ""Dante"" in ''[[Dictionary of the Middle Ages]]'', volume &nbsp;4. According to [[Giovanni Boccaccio]], the poet said he was born in May. See ""Alighieri, Dante"" in the ''Dizionario Biografico degli Italiani''.</ref>",Durante di Alighiero degli Alighieri{{efn|name=baptized}},"[[Florence]], [[Republic of Florence]]",,,,,,,,,"[[wikt:posthumous|Posthumous]] portrait in [[tempera]]<br />by [[Sandro Botticelli]], 1495",,"4, including [[Jacopo Alighieri|Jacopo]]",,,,,,,,,,,,,,,{{death date|1321|09|14}}<br />(aged {{circa|56}}),"[[Ravenna]], [[Papal States]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portrait de Dante.jpg,,,,,,,,,,,,,,,,{{hlist|Italian ([[Tuscan dialect|Tuscan]])|[[Latin]]}},,,,,,,,,,,,,{{lang|it|[[Dolce Stil Novo]]}},Dante Alighieri,[[Florentine Republic|Florentine]],,,,,,,,,,''[[Divine Comedy]]'',{{hlist|Statesman|poet|language theorist|[[political theory|political theorist]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,{{ublist|[[Alighiero di Bellincione]] (father)|Bella (mother)}},,,,,,[[Late Middle Ages]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Tomb of Dante]], Ravenna",,,,,,,,,,,,,[[Gemma Donati]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{c.|1343}},,"[[London]], England",,,,,,,,,"Manuscript portrait by [[Thomas Hoccleve]], 1412",,"4, including [[Thomas Chaucer|Thomas]]",,,,,,,,,,,,,,,"{{death date and age|df=y|1400|10|25|1343||}}<!--His monument states that he was in his 53rd year at death, i. e. 52-->","London, England",,,,,,,,,,,,,,,[[England in the Late Middle Ages|Plantagenet]],,,,,,,,,,{{hlist|[[Epic poem]]|[[lyric poem]]|[[short story]]|[[treatise]]}},,,,,,,,,Chaucer manuscrit portrait (détail).jpeg,,,,,,,,,,,,,,,,[[Middle English]],,,,,,{{Infobox writer|embed=yes,,,,,,,Precursor to the [[English Renaissance]],Geoffrey Chaucer,,,,,,,,,,,''[[The Canterbury Tales]]'',{{hlist|Author|poet|philosopher|[[bureaucrat]]|diplomat}},,,,,,,,,,,,,,,,,,,,,,,,,* Geffray Chaucer (orthographical variant),,,,,,,,[[Middle English literature]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Westminster Abbey]], London, England",,,,,,,File:Geoffrey Chaucer.svg,,200px,,,,{{marriage|[[Philippa Roet]]|1366}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,from 1368,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|df=y|1547|9|29}},,"[[Alcalá de Henares]], Spain",,,,,,,,,"This portrait, attributed to [[Juan de Jáuregui]],{{efn|Although Cervantes wrote in his preface to ''[[Novelas ejemplares|Exemplary Novels]]'' that Jáuregui did paint his portrait: ""el cual amigo bien pudiera, como es uso y costubre, grabarme y esculpirme en la primera hoja de este libro, pues le diera mi retrato el famoso D. Juan de Jauregui"".}} is unauthenticated. No authenticated image of Cervantes exists.<ref>",,Isabel {{circa|1584}} (illegitimate){{sfn|McCrory|2006|p=112}},,,,,,,,,,,,,,,"{{Death date and age|df=y|1616|4|22|1547|9|29}}<ref name= Engines>{{cite web |url=https://www.uh.edu/engines/epi2368.htm |work=Engines of Our Ingenuity |author=Armstrong, Richard |others=Lienhard, John (host, producer) |number=2368 |title=Time Out of Joint |via=UH.edu |access-date=9 December 2019}}</ref>","[[Madrid]], Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cervantes Jáuregui.jpg,,,,,,,,,,,,,,,,[[Early Modern Spanish]],Chacón y Calvo |title=Retratos de Cervantes |journal=Anales de la Academia Nacional de Artes y Letras |language=es |volume=27 |date=1947–1948 |pages=5–17}}</ref><ref>{{cite book |first=Enrique Lafuente |last=Ferrari |title=La novela ejemplar de los retratos de Cervantes |language=es |year=1948}}</ref>,,,,,,,,,,,,"[[Renaissance literature]], [[Mannerism]], Baroque",Miguel de Cervantes,,,,,,,,,,,''[[Don Quixote]]''<br />''Entremeses''<br />''[[Novelas ejemplares]]'',"Soldier, [[Farm (revenue leasing)|tax collector]], accountant, purchasing agent for Navy<br />(writing was an [[avocation]] which did not produce much income)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Convent of the Barefoot Trinitarians]], Madrid",,,,,,,Miguel de Cervantes signature.svg,,,,,,Catalina de Salazar y Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
