alma_mater,alt,awards,birth_date,birth_name,birth_place,birthname,caption,children,citizenship,creed,death_cause,death_date,death_place,denomination,education,embed,era,ethnicity,expand_influenced,expand_influences,father,field,fields,footnotes,genre,honorific_prefix,honorific_suffix,image,image_size,image_upright,influenced,influences,ism,ism-ar,jurisprudence,known_for,kunya,kunya-ar,language,laqab,laqab-ar,lineage,maddhab,main_interests,major_works,module,module1,monuments,mother,movement,name,nasab,nasab-ar,nationality,native_name,native_name_lang,nisba,nisba-ar,nisbah,nisbah-ar,notable_ideas,notable_students,notable_works,notableworks,occupation,other names,other_names,partner,period,portaldisp,pronunciation,pseudonym,region,relatives,religion,residence,resting_place,school,school_tradition,signature,signature_alt,spouse,students,subject,teachers,title,website,workplaces,works,years_active
,,,{{AH|607|link=y}},,"[[Damascus]], [[Ayyubid Sultanate]]",,,,,"[[Ash'ari]]<ref>Al-Hassan, Ahmad Y., M. Ahmad, and A. Z. Iskandar. ""Factors behind the decline of Islamic science after the sixteenth century."" History of science and technology in Islam. Available via: http://www.history-science-technology.com/articles/articles%208.html {{Webarchive|url=https://web.archive.org/web/20150402150434/http://www.history-science-technology.com/articles/articles%208.html |date=2 April 2015 }} (2001).</ref>",,{{AH|687}},"[[Cairo]], [[Mamluk Sultanate]]",,,,[[Islamic Golden Age]],,,,,,,,,,,Ibn Al Nafis statue.jpg,,,[[Abu Hayyan Al Gharnati]] }},"[[Al-Ghazali]], [[Hippocrates]], [[Galen]], [[Hunayn Ibn Ishaq]], [[Avicenna]], [[al-Zahrawi]]",,,,,,,,,,,"[[Shafi'i school|Shafi'i]]<ref>{{cite journal|title=Ibn Al-Nafis: Discoverer of the Pulmonary Circulation|date=2007  |pmc=6077055 |quote=In addition to his medical studies, Ibn al-Nafis learnt Islamic religious law, and became a renowned expert on Shafi’i school of jurisprudence (Fiqh). He lectured at al-Masruriyya School in Cairo. His name was included in a book on “Great Classes of Shafi’i Scholars (Tabaqat al-Shafi’iyyin al-Kubra) by [[Taj al-Din al-Subki]] indicating his fame in religious law. |last1=Amr |first1=S. S. |last2=Tbakhi |first2=A. |journal=Annals of Saudi Medicine |volume=27 |issue=5 |pages=385–387 |doi=10.5144/0256-4947.2007.385 |pmid=17921693 }}</ref>",{{hlist|[[medicine]]|[[surgery]]|[[physiology]]|[[anatomy]]|[[biology]]|[[Islamic studies]]|[[jurisprudence]]|[[philosophy]]}},,,,,,,Ibn al-Nafis,,,,,,,,,,,,,,,,,,,,,,[[Syria]] and [[Egypt]],,[[Islam]],,,,,,,,,,,,,,"''[[Sharh al-'Aqa'id al-Nasafiyya|Al-Durra Sharh 'Aqa'id al-Nasafi (Arabic: الدرة شرح عقائد النسفي)]]'',<ref>{{cite book|author=Group of scholars|editor=Ahmad Farid al-Mazidi|title=شروح وحواشي العقائد النسفية لأهل السنة والجماعة (الأشاعرة والماتريدية)|url=https://books.google.com/books?id=lpZLDwAAQBAJ&pg=PT15|date=2013|language=ar|publisher=[[w:de:Dar al-Kotob al-ilmiyah|Dar al-Kotob al-'Ilmiyya]]|location=[[Beirut]], [[Lebanon]]|isbn=9782745147851|page=16}}</ref><ref>{{cite book|author=[[Kamal al-Din ibn Abi Sharif]]|editor=Muhammad al-'Azazi|title=الفرائد في حل شرح العقائد وهو حاشية ابن أبي شريف على شرح العقائد للتفتازاني|url=https://books.google.com/books?id=FfpHDwAAQBAJ&pg=PT5|date=2017|language=ar|publisher=[[w:de:Dar al-Kotob al-ilmiyah|Dar al-Kotob al-'Ilmiyya]]|location=[[Beirut]], [[Lebanon]]|isbn=9782745189509|page=4}}</ref> ''Commentary on Anatomy in Avicenna's Canon''",
,,,,,,,,,,,,,,[[Mu'tazila]]<ref>{{cite journal | last = L. Ivry | first = Alfred | title = al-Kindī and the Muʿtazila: A Philosophical and Political Reevaluation | doi = 10.2307/1580657 | journal = The Philosophical Quarterly | date = 1976 | volume = 25/26 | pages = 69–85 | jstor = 1580657 | url = https://www.jstor.org/stable/1580657| url-access = subscription }}</ref><ref>{{cite journal | last = Hasan Abasi | first = Hossein Abadi | title = The Concept of God in Al-Kindi's Reflections | doi = 10.22081/NIR.2020.56605.1188 | journal = New Intellectual Research | date = 2020 | volume = 5 | issue = 9 }}</ref>}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Al-Kindi,,,,,,,,,,,,,,,,,,,,,,,,[[Islam]],,,,,,,,,,,,,,,
,,,{{birth date|1165|07|28|df=yes}},,"[[Murcia]], [[Taifa of Murcia]], [[Umayyad Caliphate]] (now Murcia, [[Region of Murcia]], [[Spain]])",,"Tomb of ibn Arabi, [[Damascus]], [[Syria]]","Sa'ad al-Din, Imad al-Din; [[Sadr al-Din al-Qunawi]] (stepson)",,Founder of [[Akbarism]],,{{death date and age|1240|11|16|1165|07|28|df=yes}},"[[Al-Salihiyah, Damascus|Salihiyya]], [[Damascus]], [[Ayyubid Sultanate]]",[[Sunni]],,,[[Medieval philosophy]] * [[12th century in philosophy|12th century philosophy]] * [[13th century in philosophy|13th century philosophy]],,,,Ali ibn Muhammad ibn Arabi al-Hatimi al-Tai,,,,,"[[Shaykh al-Islām]], [[Mujaddid]]",,قبر الشيخ محيي الدين بن عربي.jpg,,,Virtually all of [[Sufism]],,Muḥammad<br/>محمد,,[[Hanbali]]<br>or [[Zahiri]],,,,,Muḥyī d-Dīn<br>محي الدين<br/>,,,,{{hlist|[[Sufism]]|[[Tafsir]]|[[Epistemology]]|[[Ontology]]|[[Poetry]]|[[Fiqh]]}},,{{Infobox Arabic name|embed=yes,,,,,Muḥyī d-Dīn ibn ʿArabī,,,"[[al-Andalus|Andalusian]], [[Ayyubid]]",محي الدين أبو عبد الله محمد بن علي بن عربي الحاتمي الطائي,ar,[[Hatim al-Tai|al-Ḥātimī]]<br>الحاتمي<br>[[Tayy|aṭ-Ṭāʾī]]<br>الطائي}},,,,,,[[Al-Futuhat al-Makkiyya]],,"[[Tafsir|Mufassir]], [[Hadith studies|Muhaddtih]], [[Theologian]], [[Philosopher]], [[Academic staff|Academic]], [[Poet]]",,,,,,,,[[Middle Eastern philosophy]] * [[Islamic philosophy]],,[[Islam]],,"[[Mount Qasioun]], [[Damascus]], [[Syria]]",,,,,,[[Sadr al-Din al-Qunawi]],,"Shaykh Abū ʿAbd Allāh al-Tamīmī ([[Junayd al-Baghdadi|Junaydiyya]]), Shaykh ʿAbd al-ʿAzīz al-Mahdawī ([[Qadiriyya]]) }}",,,,,
,,,944,Sulaymān ibn Ḥassān,"[[Córdoba, Andalusia|Cordoba]], [[Andalusia]], now [[Spain]]",,,,,,,994  (aged 50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibn Juljul,,,,,,,,,,,,,Tabqat-ul-Atiba wal-Hukama' <br> طبقات الأطباء والحكماء,"Muslim [[Physician]], [[Pharmacology|Pharmacologist]]",,,,,,,,,,,,,,,,,,,,,,,,,[[Wiktionary:circa|circa]] 960– 994 }}
,,,1203,,"[[Damascus]], [[Ayyubid Sultanate]]",,,,<!-- use only when necessary per [[WP:INFONAT]] -->,,,January 1270 (age 66),"[[Salkhad]], Ayyubid Sultanate<br />{{Small|(in modern Syria)}}",,,,,,,,,,,,[[Biography]],,,,,,,,,,,,,,[[Classical Arabic]],,,,,,,,,,,[[Islamic Golden Age]],Ibn Abi Usaybi'a,,,<!-- use only when necessary per [[WP:INFONAT]] -->,,,,,,,,,''Lives of the Physicians'',,[[physician]],,,<!-- or: | partners = -->,,"<!-- ""on"", ""yes"", ""true"", etc.; or omit --> }}",,,,,,,Salkhad,,,,,<!-- or: | spouses = -->,,<!-- or: | subjects = -->,,,<!-- {{URL|example.org}} -->,,,
,,,"986 (AH 376)<ref name=""Brill"">{{cite book |last1=Bosworth |first1=C.E. |last2=van Donzel |first2=E. |last3=Lewis |first3=B. |last4=Pellat |first4=Ch.|title=Encyclopaedia of Islam |volume=V (Khe-Mahi) |publisher=Brill |location=Leiden, Netherlands |date=1986 |isbn=9004057455 |page=526|edition=New }}</ref>",,,,,,,"[[Ash'ari]]<ref name=""Brill""/><ref name=""Spevack 2010 73""/>",,"30 December 1072 (AH 465)<ref name=""Brill""/>",,[[Sunni]],,,[[Islamic golden age]],,,,,,,,,,,,,,}},"[[Al-Shafi'i]]<br/>[[Abu Hasan al-Ash'ari]]<br/>[[Al-Hakim al-Nishapuri]]<br/>[[Ibn Furak]]<ref name=""Brill""/><br/>[[Abu Ishaq al-Isfara'ini]]<ref name=""Brill""/><br/>[[Al-Sulami]]",,,,,,,,,,,"[[Shafi'i]]<ref name=""Spevack 2010 73"">{{cite book|last=Spevack|first=Aaron|title=The Archetypal Sunni Scholar: Law, Theology, and Mysticism in the Synthesis of Al-Bajuri |publisher=State University of New York Press|date=2014|isbn=978-1438453712|page=73}}</ref>","[[Tasawwuf]], [[Islamic theology]], [[Fiqh]], [[Usul al-Fiqh]], [[Hadith studies|Hadith]], [[Tafsir]], [[arabic grammar|Grammar]]",,,,,,,,,,,,,,,,,,,,,"[[Muhaddith]], [[Tafsir|Mufassir]], [[Scholarly method|Scholar]], [[faqih|Muslim jurist]], [[kalam|Theologian]], [[Sufi]]",,,,,,,,,,[[Islam]],,,,,,,,,,,[[Shaykh al-Islām]],,,[[Al-Risala al-Qushayriyya]],
,,,1086 CE,al-Shahrastani,"Shahristān, [[Greater Khorasan|Khorasan]] (province of [[Persia]])",,,,,"[[Ash'ari]]<ref>{{cite book|author=John B. Henderson|title=The Construction of Orthodoxy and Heresy: Neo-Confucian, Islamic, Jewish, and Early Christian Patterns|url=https://books.google.com/books?id=FALN_kpyzEUC&pg=PA28|date=1998|publisher=[[SUNY Press]]|isbn=9780791437599|page=28}}</ref><ref>{{cite book|author=Israr Ahmad Khan, Hilman Latief, Maher Abu-Munshar, [[Khosrow Bagheri]] and Zohreh Khosravi|editor=Katherine Bullock|title=American Journal of Islamic Social Sciences 23:4|url=https://books.google.com/books?id=PpI4DwAAQBAJ&pg=PA36|date=2006|publisher=[[International Institute of Islamic Thought]] (IIIT)|page=36}}</ref>",,1153,"Shahristān, Khorasan",,,,[[Islamic Golden Age]],,,,,,,,,,,,,,[[Sayf al-Din al-Amidi]] }},[[Al-Juwayni]],,,[[Shafi'i]],,,,,,,,,"History, theology, [[Kalam]], philosophy, [[historiography]], [[Fiqh|Islamic jurisprudence]]",,,,,,,Tāj al-Dīn Abū al-Fath Muhammad ibn `Abd al-Karīm ash-Shahrastānī,,,,{{Nobold|{{lang|ar|تاج الدين أبو الفتح محمد بن عبد الكريم الشهرستاني}}}},,,,,,,,"''[[Al-Milal wa al-Nihal]]'', ''[[w:ar:نهاية الإقدام في علم الكلام (كتاب)|Nihayat al-Iqdam fi 'Ilm al-Kalam]]''",,,,,,,,,,"Shahristān, [[Greater Khorasan|Khorasan]]",,[[Islam]],,,,,,,,,,,"''Nā’ib'' (Deputy) of the chancellery for [[Ahmad Sanjar|Sanjar]], the [[Seljuk dynasty|Saljūq]] ruler of [[Greater Khorasan|Khurāsān]]",,,,
,,,1003,,"[[Córdoba, Spain|Cordoba]], [[Caliphate of Córdoba]]",,Monument made for Ibn Zaydun,,,,,1071,"[[Seville]], [[Taifa of Seville]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibn Zaydun<br />ابن زيدون,,,,,,,,,,,,,,Poet,,,,[[Islamic Golden Age]],,,,,,,,,,,,,}},,,,,,,,
,,,9th century,,"[[Fergana valley]], [[Sogdia]]<ref>{{cite book |last1=Gillispie |first1=Charles Coulston |title=Dictionary of Scientific Biography |publisher=Scribner in New York |date=1970|pages=[https://archive.org/details/dictionaryofscie02gill/page/541 541–545]|url=https://archive.org/details/dictionaryofscie02gill|url-access=registration |isbn=0-684-10114-9}}</ref>",,The statue of al-Farghani in Cairo,,,,,9th century,Egypt }},,,,[[Islamic Golden Age]],,,,,,,,,,,CairoRodaAlfraganusMonument.jpg,,,"[[Christopher Columbus]], [[Nicolaus Copernicus]], [[Abu 'Ubayd al-Juzjani|Al-Jūzjānī]], [[al-Bīrūnī]], [[Al-Qabisi]]",[[Ptolemy]],,,,,,,,,,,,[[Astronomy]],"''The compendium ({{transliteration|ar|jawāmiʿ}}) of the Almagest'', Treatise on the Astrolabe",,,,,,Al-Farghānī,,,,أبو العبّاس أحمد بن محمد بن كثير الفرغاني,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,950,Abu al-Hasan 'Ali Abi al-Said ibn 'Abd al-Rahman ibn Ahmad ibn Yunus bin Abd al-'Ala al-Sadafi al-Misri ({{lang|ar|أبو الحسن علي أبي السعيد بن عبد الرحمن بن أحمد بن يونس بن عبد الأعلى الصدفي المصري}}),"[[Fustat]], [[Ikhshidid dynasty|Ikhshidid Emirate of Egypt]], now [[Egypt]]",,,,,,,6 June 1009,"[[Cairo]], [[Fatimid Caliphate|Egyptian Fatimid Caliphate]], now [[Egypt]]",,,,[[Ikhshidid dynasty|Ikhshidid era]]<br /> [[Abbasid Caliphate|Abbasid era]]<br /> [[Fatimid Caliphate|Fatimid era]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibn Yunus,,,,,,,,,,,,* Al-Zij al-Kabir al-Hakimi * Bulugh al-Umniyya * Zij ibn Yunus * Ghayat al-Intifah fi Mareafat al-Da'ir min al-Falak min qabl al-Iritifah }},,"[[Astronomer]], [[astrologer]], [[mathematician]], [[philosopher]]",,,,,,,,,,,,,,,,,,,,,,,,,
,,,895,,"[[Kairouan]], now [[Kairouan Governorate]], [[Tunisia]]",,,,,,,979  (aged 84),"[[Kairouan]], now [[Kairouan Governorate]], [[Tunisia]]",,,,,,,,,,,,,,,File:Ibn al-Jazzar.gif,,,,,,,,,,,,,,,,,,,,,,,Ibn al-Jazzar,,,,,,,,,,,,,Zād al-Musāfir wa Quwwat al-Hādhir <br /> {{lang|ar|زاد المسافر وقوت الحاضر}} (Viaticum) }},{{hlist|[[Physician]]|[[Islamic medicine]]}},,,,,,,,,,,,,,,,,,,,,,,,,
,,,1304,,"[[Damascus]], [[Mamluk Sultanate]]",,Ibn al-Shatir's lunar model.,,,,,1375  (aged 71),,,,,,,,,,,,,,,,Ibn-al-shatir2.gif,,,,,,,,,,,,,,,,,,,,,,,Ibn al-Shatir,,,,,,,,,,,,,,[[Astronomer]],,,,,,,,,,,,,,,,,,,,,,,,kitab nihayat al-sul fi tashih al-usul }},
,,,{{birth date text|18 February 1372}},,"[[Cairo]], [[Mamluk Sultanate (Cairo)|Mamluk Sultanate]]",,Tomb of Ibn Hajar al-Asqalani in Cairo,,,"[[Ash'ari]]<ref>{{cite book|author=[[Namira Nahouza]]|title=Wahhabism and the Rise of the New Salafists: Theology, Power and Sunni Islam|url=https://books.google.com/books?id=nyaODwAAQBAJ|date=2018|publisher=[[I.B. Tauris]]|isbn=9781838609832|pages=121–122|access-date=2021-01-12|archive-date=2021-10-07|archive-url=https://web.archive.org/web/20211007201321/https://books.google.com/books?id=nyaODwAAQBAJ|url-status=live}}</ref><ref>{{cite web|url=https://almostaneer.com/ebooks/أهل-السنة-الأشاعرة-شهادة-علماء-الأمة-و/أكابر-محدثى-الأمة-وحفاظها-وأكابر-فقها/|title=Ahl al-Sunna: The Ash'aris - The Testimony and Proofs of the Scholars|language=Arabic|website=almostaneer.com|archive-url=https://web.archive.org/web/20210128040753/https://almostaneer.com/ebooks/أهل-السنة-الأشاعرة-شهادة-علماء-الأمة-و/أكابر-محدثى-الأمة-وحفاظها-وأكابر-فقها|archive-date=28 January 2021}}</ref><ref>{{cite web|url=http://sunnah.org/2008/07/18/the-ashari-school-sayyid-alawi-al-maliki|title=The Ash'ari School|author=[[Muhammad ibn 'Alawi al-Maliki]]|website=[[As-Sunnah Foundation of America]]|date=18 July 2008 |archive-url=https://web.archive.org/web/20210112184122/http://sunnah.org/2008/07/18/the-ashari-school-sayyid-alawi-al-maliki|archive-date=12 Jan 2021|quote=[[Shaykh al-Islam]] Ahmad ibn Hajar al-'Asqalani (d. 852/1449; [[Rahimahullah]]), the mentor of Hadith scholars and author of the book ""[[Fath al-Bari bi-Sharh Sahih al-Bukhari]]"", which not a single Islamic scholar can dispense with, was Ash'ari. The shaykh of the scholars of Sunni Islam, Imam [[al-Nawawi]] (d. 676/1277; Rahimahullah), author of ""[[Al Minhaj bi Sharh Sahih Muslim|Sharh Sahih Muslim]]"" and many other famous works, was Ash'ari. The master of Qur'anic exegetes, Imam [[al-Qurtubi]] (d. 671/1273; Rahimahullah), author of ""[[al-Jami' li-Ahkam al-Qur'an]]"", was Ash'ari. Shaykh al-Islam [[Ibn Hajar al-Haytami]] (d. 974/1567; Rahimahullah), who wrote ""al-Zawajir 'an Iqtiraf al-Kaba'ir"", was Ash'ari. The Shaykh of Sacred Law and Hadith, the conclusive definitive [[Zakariyya al-Ansari]] (d. 926/1520; Rahimahullah), was Ash'ari. Imam [[Abu Bakr al-Baqillani]] (d. 403/1013; Rahimahullah), Imam al-'Asqalani; Imam [[Abu al-Barakat al-Nasafi|al-Nasafi]] (d. 710/1310; Rahimahullah); Imam [[Al-Khatib al-Shirbini|al-Shirbini]] (d. 977/1570; Rahimahullah); [[Abu Hayyan al-Gharnati]], author of the Qur'anic commentary ""al-Bahr al-Muhit""; Imam [[Ibn Juzayy]] (d. 741/1340; Rahimahullah); author of ""al-Tashil fi 'Ulum al-Tanzil""; and others – all of these were Imams of the Ash'aris.}}</ref><ref>{{cite book|last1=Bennett|first1=Clinton|authorlink=Clinton Bennett|title=The Bloomsbury Companion to Islamic Studies|url=https://books.google.com/books?id=ZsWFBwAAQBAJ|publisher=[[Bloomsbury Academic]]|date=15 January 2015|isbn=9781472586902|page=128|quote=There are many followers of the Ash'ariyyah among the great Muslim scholars, such as al-Qurtubi, Ibn Kathir, al-Sauiti, al-Mazari, Ibn Hajer al Askalani, and al Nawawi}}</ref><ref>{{cite book|author=Rebecca Skreslet Hernandez|title=The Legal Thought of Jalāl Al-Din Al-Suyūṭī: Authority and Legacy|url=https://books.google.com/books?id=ssU2DwAAQBAJ|publisher=[[Oxford University Press]]|date=2017|isbn=9780198805939|page=205|quote=people who support burning established and respected works like Ibn Hajar's al-Fath al-Bari and al-Nawawi's Sharh Sahih Muslim because the authors are Ash'ari.}}</ref><ref>{{cite book|last1=Mansfield|first1=Laura|title=His Own Words: Translation and Analysis of the Writings of Dr. Ayman Al Zawahiri|url=https://books.google.com/books?id=Mt5_aNiyqUoC|publisher=[[Thesaurus Linguae Graecae|TLG Publications]]|date=2006|isbn=9781847288806|page=265|quote=Many of the most learned ulema of Islam such as Izz Bin Abdul Salam, al-Nawawi, and Ibn Hajar - may God have mercy on them - were Ashari.}}</ref>",,"{{death-date and age|2 February 1449|18 February 1372}}<ref name=""scienceofhadith""/>","Cairo, Mamluk Sultanate",[[Sunni]],,,{{plainlist| *[[Bahri dynasty|Bahri Era]] *[[Burji dynasty|Burji Era]]}},,,,,,,,,[[Imam]],,"Tomb of al-hafidh Ibn Hajar Al-Asqalani (1). Cairo, Egypt © Fouad Gehad Marei (2009).jpg",225px,,"[[Al-Sakhawi]]<ref>{{cite book |last1=Salmān | first1=Mashhūr Ḥasan Maḥmūd| last2=Shuqayrāt| first2=Aḥmad Ṣidqī | title=Muʼallafāt al-Sakhāwī : al-ʻAllāmah al-Ḥāfiẓ Muḥammad ibn ʻAbd al-Raḥmān al-Sakhāwī, 831-902 H |publisher=Dār Ibn Ḥazm |year = 1998|page=18 |chapter=Tarjamat al-musannif| name-list-style=amp}}</ref> <br /> [[Zakariyya al-Ansari]] <br /> [[Al-Suyuti]]",,Aḥmad,أَحْمَد,[[Shafi'i]]|,,Abū al-Faḍl,أَبُو ٱلْفَضْل,,Ibn Ḥajar,ٱبْن حَجَر,,,,,{{infobox Arabic name|embed=yes,,,,,Ibn Hajar al-Asqalani,Ibn ʿAlī ibn Muḥammad ibn Muḥammad ibn ʿAlī ibn Maḥmūd,ٱبْن عَلِيّ ٱبْن مُحَمَّد ٱبْن مُحَمَّد ٱبْن عَلِيّ ٱبْن مَحْمُود,,ابن حجر العسقلاني,ar,Al-ʿAsqalānī,ٱلْعَسْقَلَانِيّ }},,,,,,,,,,,,,,,,,[[Islam]],,"[[City of the Dead (Cairo)|City of the Dead]], Cairo, Egypt",,,,,,,,,[[Shaykh al-Islam]]<br/>[[Hafiz (Quran)|Hafiz]],,,,
,,,1203,,"[[Damascus]], [[Ayyubid Sultanate]]",,,,<!-- use only when necessary per [[WP:INFONAT]] -->,,,January 1270 (age 66),"[[Salkhad]], Ayyubid Sultanate<br />{{Small|(in modern Syria)}}",,,,,,,,,,,,[[Biography]],,,,,,,,,,,,,,[[Classical Arabic]],,,,,,,,,,,[[Islamic Golden Age]],Ibn Abi Usaybi'a,,,<!-- use only when necessary per [[WP:INFONAT]] -->,,,,,,,,,''Lives of the Physicians'',,[[physician]],,,<!-- or: | partners = -->,,"<!-- ""on"", ""yes"", ""true"", etc.; or omit --> }}",,,,,,,Salkhad,,,,,<!-- or: | spouses = -->,,<!-- or: | subjects = -->,,,<!-- {{URL|example.org}} -->,,,
,,,c.  510 AH/1116 CE,,"[[Baghdad]], Abbasid Caliphate, now [[Iraq]]",Abd al-Rahman ibn Ali Al-Jawzi Al-Bakri,,Yusuf ibn Abd al-Rahman Al-Jawzi,,"[[Ash'ari]]<ref>{{cite book|author=[[J. A. Boyle]]|title=The Cambridge History of Iran|url=https://books.google.com/books?id=16yHq5v3QZAC|volume=5 of The Saljuq and Mongol Periods|publisher=[[Cambridge University Press]]|date=1968|page=299|isbn=9780521069366|quote=""''Talbis Iblis'', by the Ash'ari theologian Ibn al-Jawzi, contains strong attacks on the Sufis, though the author makes a distinction between an older purer Sufism and the ""modern"" one,""}}</ref><ref>{{cite book|author=[[Gibril Fouad Haddad]]|title=The Biographies of the Elite Lives of the Scholars, Imams & Hadith Masters|url=https://books.google.com/books?id=RwPnCAAAQBAJ&pg=PA226|date=2015|publisher=[[As-Sunnah Foundation of America]]|page=226|quote=Abu al-Faraj bin al-Jawzi al-Qurashi [[Banu Taym|al-Taymi]] [[Abu Bakr|al-Bakri]] al-Baghdadi al-Hanbali [[Ash'arism|al-Ashari]] (509/510-597AH).}}</ref><ref name=""Ibn al-Ahdal"">{{cite book|author=[[Ibn al-Ahdal]]|editor=Ahmad Bakīr Mahmud|url=https://archive.org/download/kalam-misc/kashful-ghitaa.pdf|title=Kashf al-Ghata' 'an Haqa'iq al-Tawhid|script-title=ar:كشف الغطاء عن حقائق التوحيد|language=ar|location=[[Tunisia]]|publisher=[[Tunisian General Labour Union]]|year=1964|page=83|quote=وكل هؤلاء الذين ذكرنا عقائدهم من أئمة الشافعية سوى القرشي والشاذلي فمالكيان أشعريان. ولنتبع ذلك بعقيدة المالكية وعقيدتين للحنفية ليعلم أن غالب أهل هذين المذهبين على مذهب الأشعري في العقائد، '''وبعض الحنبلية في الفروع يكونون على مذهب الأشعري في العقائد كالشيخ عبد القادر الجيلاني وابن الجوزي وغيرهما رضي الله عنهم.''' وقد تقدم وسيأتي أيضاً أن الأشعري والإمام أحمد كانا في الاعتقاد متفقين حتى حدث الخلاف من أتباعه القائلين بالحرف والصوت والجهة وغير ذلك فلهذا لم نذكر عقائد المخالفين واقتصرنا على عقائد أصحابنا الأشعرية ومن وافقهم من المالكية والحنفية رضي الله عنهم. فأما عقيدة المالكية فهي تأليف الشيخ الإمام الكبير الشهير أبي محمد عبد الله بن أبي زيد المالكي ذكرها في صدر كتابه الرسالة}}</ref>",,12 Ramadan 597 AH/16 June 1201 (aged approximately 87),"[[Baghdad]], Abbasid Caliphate, now [[Iraq]]",[[Sunni]],,,[[Islamic Golden Age]],,,,Ali ibn Muhammad Al-Jawzi,,,,,,,,,,"<small>[[Abd al-Ghani al-Maqdisi]], d 600 AH<ref name=""sahwah"" /><br />[[Sibt ibn al-Jawzi]], d 654 AH<ref name=""Robinson:2003:XV"">Robinson:2003:XV</ref><br /> [[Ibn Qudama al-Maqdisi]]<ref name=""sahwah"" /><br />[[Diya al-Din al-Maqdisi]]<ref name=""Ibn Al-Jawzi"">{{cite web |url=http://www.sunnah.org/history/Scholars/ibn_aljawzi.htm |title=Ibn Al-Jawzi |publisher=Sunnah.org |access-date=2013-11-28 |archive-date=2020-02-22 |archive-url=https://web.archive.org/web/20200222230613/http://www.sunnah.org/history/Scholars/ibn_aljawzi.htm |url-status=dead }}</ref></small>",,,,[[Hanbali]],,,,,,,[[Qasim ibn Muhammad ibn Abi Bakr|Al-Bakri]] }},,"[[History]], [[Tafsir]], [[Hadith]], [[Fiqh]]",,,,,,,Ibn al-Jawzi,,,,,,,,,,,,,,,,,,,,,,,,[[Islam]],,,,,,,,,,,"[[Shaykh al-Islam]]<ref>Al-Dhahabi, Siyar A'lam al-Nubala'.</ref>",,,{{transliteration|ar|[[Kitab Akhbar al-Sifat]]}},
,,,18 March 1074,,"[[Izmukshir|Zamakhshar]], [[Khwarazm]]",,Manuscript of al-Zamakhshari's ''Al-Mufassal''; copy dated 13 August 1253,,,,,12 July 1143,"[[Gurganj]], [[Khwarazmian Empire]]",[[Mu'tazila]],,,[[Islamic Golden Age]],,,,,,,,,,,"Abu'l Qasim Mahmud ibn 'Umar al-Zamakhshri (d.1144); Al-Mufassal, Near East, Wednesday 13 August 1253.jpg",,,[[Al-Qifti]] }},[[Al-Qadi Abd al-Jabbar]]<br/>[[Abu Hanifa]]<br/>[[Al-Wahidi]]<br/>[[Abd al-Qahir al-Jurjani]]<br/>[[Ibn al-Malahimi]],,,[[Hanafi]],,,,,,,,,,,,,,,,Al-Zamakhshari,,,,,,,,,,,,,,,,,,,,,,,,[[Islam]],,,,,,,,,,,Al-Zamakhshari,,,,
